"IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:tt_lib,temperature=27) YReImag","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ss_lib,temperature=125) YReImag","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) X","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) YRe","IOUT_ac (modelFiles=c018bcd_gen2_v1d6_usage.scs:pre_simu,c018bcd_gen2_v1d6_usage.scs:ff_lib,temperature=-40) YReImag"
3.162277660168377,2.290083944700427e-08,3.251162000526589e-13,3.162277660168377,1.515034142585137e-08,3.152711912693841e-13,3.162277660168377,3.406709492281834e-08,3.354462799257388e-13
3.548133892335751,2.290083944700427e-08,3.647863762515979e-13,3.548133892335751,1.515034142585137e-08,3.537400947139923e-13,3.548133892335751,3.406709492281834e-08,3.763769165036106e-13
3.981071705534969,2.290083944700427e-08,4.09297046032212e-13,3.981071705534969,1.515034142585137e-08,3.969029142955946e-13,3.981071705534969,3.406709492281834e-08,4.223018460903053e-13
4.466835921509626,2.290083944700427e-08,4.592388389393935e-13,4.466835921509626,1.515034142585137e-08,4.453323944058464e-13,4.466835921509626,3.406709492281834e-08,4.738304645990889e-13
5.011872336272718,2.290083944700427e-08,5.152744522221663e-13,5.011872336272718,1.515034142585137e-08,4.996711648217819e-13,5.011872336272718,3.406709492281834e-08,5.316465254906211e-13
5.623413251903484,2.290083944700427e-08,5.781474444235489e-13,5.623413251903484,1.515034142585137e-08,5.606402680125149e-13,5.623413251903484,3.406709492281834e-08,5.965172127659539e-13
6.309573444801925,2.290083944700427e-08,6.486921019506602e-13,6.309573444801925,1.515034142585137e-08,6.290487269347243e-13,6.309573444801925,3.406709492281834e-08,6.693033210321113e-13
7.07945784384137,2.290083944700427e-08,7.278445095484577e-13,7.07945784384137,1.515034142585137e-08,7.058042802757531e-13,7.07945784384137,3.406709492281834e-08,7.509706777235364e-13
7.943282347242804,2.290083944700427e-08,8.166549715755706e-13,7.943282347242804,1.515034142585137e-08,7.919254275944784e-13,7.943282347242804,3.406709492281834e-08,8.426029590453415e-13
8.912509381337442,2.290083944700427e-08,9.163019489050089e-13,8.912509381337442,1.515034142585137e-08,8.885549441916503e-13,8.912509381337442,3.406709492281834e-08,9.454160696981469e-13
9.999999999999984,2.290083944700427e-08,1.028107696383954e-12,9.999999999999984,1.515034142585137e-08,9.969750450438202e-13,9.999999999999984,3.406709492281834e-08,1.060774277194715e-12
11.22018454301961,2.290083944700427e-08,1.153555808352224e-12,11.22018454301961,1.515034142585137e-08,1.118624399017044e-12,11.22018454301961,3.406709492281834e-08,1.190208314860962e-12
12.58925411794165,2.290083944700427e-08,1.294310905037776e-12,12.58925411794165,1.515034142585137e-08,1.255117219128644e-12,12.58925411794165,3.406709492281834e-08,1.335435693737168e-12
14.12537544622752,2.290083944700427e-08,1.452240721055758e-12,14.12537544622752,1.515034142585137e-08,1.408264682173195e-12,14.12537544622752,3.406709492281834e-08,1.49838349290598e-12
15.8489319246111,2.290083944700427e-08,1.629440889112075e-12,15.8489319246111,1.515034142585137e-08,1.580098961938172e-12,15.8489319246111,3.406709492281834e-08,1.681213930661001e-12
17.78279410038919,2.290083944700427e-08,1.828262747776146e-12,17.78279410038919,1.515034142585137e-08,1.772900194915403e-12,17.78279410038919,3.406709492281834e-08,1.886353055829852e-12
19.95262314968875,2.290083944700427e-08,2.051344542315107e-12,19.95262314968875,1.515034142585137e-08,1.989226736326955e-12,19.95262314968875,3.406709492281834e-08,2.116522939968114e-12
